Source,Destination,Distance
Cleveland,Louisville,473
Seattle,Austin,2778
SanDiego,Minneapolis,2008
SanDiego,Fresno,2376
Tulsa,NewYork,1017
Mesa,LongBeach,1790
Atlanta,Wichita,4226
Memphis,Atlanta,3747
Jacksonville,Sacramento,1914
Raleigh,Jacksonville,3791
Wichita,Charlotte,3977
Phoenix,Albuquerque,2545
Indianapolis,Washington,2889
Philadelphia,Wichita,4006
Anaheim,KansasCity,3795
Wichita,Seattle,4499
Memphis,Louisville,3826
Portland,Cleveland,2844
NewOrleans,Minneapolis,2777
Philadelphia,Milwaukee,3500
Austin,Fresno,4720
Memphis,Sacramento,1390
Houston,LongBeach,343
Omaha,SanFrancisco,4953
Seattle,Sacramento,175
Louisville,Baltimore,1393
LasVegas,Detroit,4472
LosAngeles,Austin,4025
Portland,Dallas,3107
ColoradoSprings,Dallas,4335
Tucson,Portland,2672
NewOrleans,Memphis,4147
Austin,Oakland,3607
Raleigh,Bakersfield,2150
Memphis,Bakersfield,1231
Detroit,Washington,3738
Denver,Phoenix,2500
Milwaukee,SanFrancisco,290
ElPaso,Minneapolis,2414
Raleigh,Fresno,1009
LongBeach,Tulsa,1205
Raleigh,ElPaso,1932
Wichita,Detroit,3804
Milwaukee,Fresno,3944
Chicago,Portland,4275
Chicago,KansasCity,2447
Omaha,Atlanta,642
Nashville,Dallas,3260
Tampa,VirginiaBeach,4721
Raleigh,Louisville,4898
Columbus,Baltimore,3712
Portland,Houston,3581
Atlanta,Denver,1452
Atlanta,Honolulu,4813
Sacramento,LosAngeles,3214
Boston,Charlotte,1814
Louisville,LongBeach,2338
Tucson,Bakersfield,2727
Nashville,Boston,2473
ElPaso,Washington,276
Cleveland,Tampa,1645
SantaAna,Albuquerque,3384
Arlington,SanDiego,2826
NewOrleans,Columbus,2279
Columbus,SanAntonio,717
Memphis,Tulsa,2430
LasVegas,Fresno,4544
Seattle,Cleveland,1946
Aurora,Raleigh,440
Washington,Seattle,3000
Houston,FortWorth,4510
OklahomaCity,Charlotte,308
Tampa,FortWorth,2984
Indianapolis,ColoradoSprings,3443
Memphis,Baltimore,1923
Sacramento,Denver,2351
Sacramento,Fresno,351
Phoenix,Detroit,4794
Albuquerque,LongBeach,4652
Chicago,Anaheim,3276
Columbus,Atlanta,51
Dallas,Indianapolis,359
Nashville,Arlington,866
Miami,Indianapolis,514
Anaheim,Albuquerque,2833
Louisville,Seattle,437
Austin,NewYork,4239
Cleveland,Atlanta,3355
Miami,Detroit,3763
Dallas,Tucson,1245
Detroit,Portland,2598
SanDiego,Nashville,1447
Honolulu,Omaha,658
ElPaso,Boston,4581
Boston,Charlotte,2224
Tampa,Washington,4196
LasVegas,SanAntonio,4935
Albuquerque,Honolulu,2487
Portland,Albuquerque,2979
Tampa,Charlotte,2676
FortWorth,Minneapolis,3771
Albuquerque,Denver,2827
Aurora,Columbus,435
Milwaukee,Indianapolis,1744
SantaAna,Charlotte,2066
OklahomaCity,Omaha,4615
LosAngeles,Detroit,4977
Houston,NewYork,411
Dallas,Fresno,2867
SanFrancisco,Chicago,1643
Aurora,Houston,3857
Louisville,Detroit,4652
Baltimore,Boston,1159
Tucson,Philadelphia,2377
Denver,Milwaukee,1359
Mesa,Raleigh,2148
Cleveland,LongBeach,702
Wichita,Raleigh,3439
Mesa,NewYork,4548
Indianapolis,Albuquerque,1275
Columbus,Honolulu,2435
SanAntonio,Jacksonville,3015
Louisville,Boston,2578
Phoenix,Oakland,4739
Washington,KansasCity,4716
ColoradoSprings,Washington,2026
Milwaukee,Jacksonville,4860
Anaheim,VirginiaBeach,2909
Dallas,SanFrancisco,1906
LasVegas,Austin,2893
Portland,Albuquerque,270
OklahomaCity,Houston,3609
Houston,NewYork,626
Chicago,Mesa,3408
Nashville,Bakersfield,1422
SanFrancisco,Arlington,2731
OklahomaCity,Seattle,1142
Denver,Tampa,3149
Oakland,Baltimore,3013
Oakland,Arlington,2256
Raleigh,Jacksonville,1061
LasVegas,Oakland,4789
Washington,ColoradoSprings,3452
Miami,Minneapolis,4250
Seattle,Atlanta,3621
Anaheim,ElPaso,3550
OklahomaCity,ElPaso,2074
Cleveland,KansasCity,4360
Aurora,Oakland,4979
Tucson,LasVegas,3834
Raleigh,SanFrancisco,235
Tucson,Tampa,4514
SanAntonio,SanFrancisco,1860
Aurora,Tulsa,2615
OklahomaCity,Portland,905
Chicago,Albuquerque,2929
Albuquerque,LongBeach,1365
Baltimore,SanAntonio,3786
Milwaukee,ElPaso,2768
Detroit,Miami,4212
Arlington,Washington,3376
OklahomaCity,Indianapolis,4614
SanAntonio,VirginiaBeach,991
Denver,Columbus,3606
Cleveland,OklahomaCity,4052
KansasCity,Detroit,705
Nashville,Jacksonville,3275
Honolulu,Wichita,523
Sacramento,SanAntonio,3766
Sacramento,Phoenix,709
Mesa,NewOrleans,2890
Boston,SanFrancisco,4643
Bakersfield,Houston,360
Indianapolis,Boston,756
Tulsa,Omaha,4437
Houston,FortWorth,3827
VirginiaBeach,Phoenix,4923
LongBeach,Anaheim,4139
Bakersfield,SanDiego,3139
Arlington,Tulsa,4627
Charlotte,Washington,4137
Indianapolis,Phoenix,3625
Sacramento,Memphis,3876
Anaheim,Jacksonville,2458
LasVegas,Phoenix,274
Sacramento,Jacksonville,2479
Anaheim,VirginiaBeach,361
SanAntonio,Omaha,892
Tulsa,Detroit,2705
Raleigh,Miami,618
NewYork,Anaheim,1043
ColoradoSprings,Washington,637
Arlington,Denver,2490
SanDiego,Omaha,2495
Aurora,Philadelphia,1456
Sacramento,Cleveland,1508
LasVegas,Cleveland,379
Jacksonville,Charlotte,4748
Wichita,FortWorth,507
Boston,Washington,2744
Phoenix,VirginiaBeach,2701
Tulsa,Baltimore,2307
Aurora,Mesa,4150
Memphis,Minneapolis,4834
Austin,Memphis,233
Boston,Jacksonville,2661
Tampa,Bakersfield,2891
VirginiaBeach,Phoenix,4257
Miami,Memphis,3390
Mesa,Tampa,3317
Anaheim,Dallas,1445
Boston,LasVegas,4052
Wichita,Phoenix,3472
Milwaukee,Seattle,3759
Indianapolis,LongBeach,2607
Bakersfield,Boston,1294
NewOrleans,Sacramento,3926
Philadelphia,ColoradoSprings,1805
Nashville,SanAntonio,3046
Sacramento,Dallas,2128
SanFrancisco,Milwaukee,929
Fresno,Atlanta,4901
VirginiaBeach,FortWorth,1138
Baltimore,Austin,124
OklahomaCity,Columbus,1189
Dallas,VirginiaBeach,1144
Atlanta,Minneapolis,586
Houston,Omaha,1324
Aurora,Seattle,1768
SanAntonio,Portland,2090
LasVegas,Columbus,2674
Seattle,Detroit,365
Detroit,Columbus,4322
Atlanta,Tampa,2373
Miami,Cleveland,633
NewYork,Aurora,2502
Wichita,Austin,4634
Raleigh,Charlotte,1190
Jacksonville,KansasCity,2137
LongBeach,Austin,2305
FortWorth,KansasCity,3563
Jacksonville,Honolulu,807
Seattle,ElPaso,992
Seattle,Sacramento,2238
Honolulu,Philadelphia,2821
FortWorth,Memphis,2711
Mesa,SanAntonio,3231
Chicago,Louisville,2723
Cleveland,LasVegas,4597
Denver,Omaha,1709
Indianapolis,SanFrancisco,4367
Bakersfield,ColoradoSprings,3134
Indianapolis,Cleveland,4098
Phoenix,Austin,4049
FortWorth,VirginiaBeach,546
NewYork,Seattle,1669
Louisville,Bakersfield,4060
Baltimore,ElPaso,4455
FortWorth,Jacksonville,1809
Milwaukee,Albuquerque,3397
Aurora,Phoenix,2592
SanAntonio,Minneapolis,2570
Chicago,Washington,4489
OklahomaCity,LongBeach,4917
SanFrancisco,Indianapolis,4844
VirginiaBeach,Phoenix,2875
VirginiaBeach,LongBeach,1250
Memphis,Nashville,514
ElPaso,Nashville,1038
Houston,Cleveland,251
Anaheim,KansasCity,1739
LosAngeles,Chicago,2656
Washington,Minneapolis,1982
Austin,NewOrleans,209
Anaheim,Chicago,2665
Honolulu,LosAngeles,223
SanDiego,LasVegas,4283
Oakland,Honolulu,4388
Indianapolis,Mesa,1436
SanAntonio,Sacramento,529
Denver,Fresno,3761
Tulsa,Aurora,1584
SantaAna,FortWorth,1628
Raleigh,Milwaukee,1149
SanDiego,Raleigh,2960
SanDiego,Dallas,4304
Dallas,Indianapolis,2832
ElPaso,Charlotte,4823
Phoenix,Charlotte,2905
Sacramento,Portland,3206
Austin,Chicago,768
Austin,Omaha,488
Tulsa,OklahomaCity,4639
FortWorth,Raleigh,2078
FortWorth,Phoenix,2087
Baltimore,NewYork,1144
NewYork,Denver,2431
Anaheim,Sacramento,2958
KansasCity,Louisville,4800
Philadelphia,SanFrancisco,4938
Tucson,Seattle,3831
Phoenix,LosAngeles,434
Portland,ColoradoSprings,901
Philadelphia,Houston,791
Cleveland,SanAntonio,4750
Bakersfield,Indianapolis,1310
Dallas,SanDiego,3847
Anaheim,Minneapolis,1954
LasVegas,Dallas,3730
Tulsa,ElPaso,3160
Indianapolis,NewYork,569
Boston,Fresno,4631
Honolulu,SanAntonio,922
Memphis,LosAngeles,3803
Bakersfield,SanFrancisco,2773
Tulsa,Tampa,2833
Portland,Minneapolis,312
Albuquerque,Fresno,3285
Nashville,LongBeach,4909
LongBeach,Mesa,2725
Sacramento,Tulsa,2422
KansasCity,Cleveland,1572
NewYork,Jacksonville,2341
Dallas,Nashville,1974
Honolulu,Minneapolis,2666
Denver,Dallas,454
NewYork,LasVegas,4323
Wichita,Miami,402
NewOrleans,SantaAna,1579
Austin,Nashville,1240
Minneapolis,Anaheim,4030
Albuquerque,Tucson,3591
Minneapolis,LosAngeles,1666
SantaAna,Cleveland,4503
OklahomaCity,Sacramento,4351
SanDiego,Honolulu,1915
Nashville,Memphis,2472
Wichita,SanFrancisco,1486
Aurora,Seattle,2377
Philadelphia,Anaheim,301
Nashville,Aurora,2897
Tampa,LongBeach,4551
Anaheim,FortWorth,761
NewOrleans,Denver,823
SanFrancisco,Atlanta,516
Seattle,Phoenix,2537
Baltimore,Tucson,3623
Tampa,Nashville,4809
Arlington,Bakersfield,3112
NewOrleans,NewYork,252
Phoenix,Bakersfield,4969
Baltimore,FortWorth,1707
Houston,Albuquerque,3611
LosAngeles,Memphis,690
Raleigh,Minneapolis,3621
Aurora,Albuquerque,1242
Tulsa,Atlanta,542
Dallas,Louisville,4620
Philadelphia,Baltimore,231
Chicago,SanAntonio,1686
Minneapolis,LosAngeles,4988
Arlington,Baltimore,1818
LosAngeles,SanAntonio,451
SanAntonio,Anaheim,1671
SanAntonio,Detroit,1898
Minneapolis,ColoradoSprings,1462
Bakersfield,Charlotte,3798
SanFrancisco,Columbus,3131
Raleigh,Mesa,3014
Jacksonville,Memphis,2853
Baltimore,Omaha,207
Indianapolis,Mesa,4219
LasVegas,LongBeach,2185
Detroit,Tulsa,3130
LosAngeles,Indianapolis,1279
Austin,Indianapolis,1488
Tampa,Portland,2155
Louisville,LongBeach,4882
Omaha,Tampa,4681
Boston,Houston,206
Washington,Seattle,4505
Seattle,LosAngeles,413
NewYork,SanAntonio,2320
Miami,Tulsa,2597
NewOrleans,Miami,3603
Milwaukee,Boston,4966
Fresno,Columbus,1497
Anaheim,Memphis,4770
OklahomaCity,Louisville,2976
Raleigh,Dallas,4958
LasVegas,FortWorth,192
Phoenix,FortWorth,2097
FortWorth,Raleigh,2740
Cleveland,ElPaso,4546
SanAntonio,Detroit,574
Mesa,Phoenix,4227
NewYork,Charlotte,2704
KansasCity,Sacramento,2554
Nashville,Tampa,579
VirginiaBeach,Tampa,1982
FortWorth,VirginiaBeach,3488
Oakland,ElPaso,3073
Miami,Bakersfield,2412
Philadelphia,ColoradoSprings,2770
Milwaukee,Tampa,2056
NewYork,Oakland,3595
Portland,Austin,2134
Raleigh,Baltimore,815
Baltimore,Louisville,2934
OklahomaCity,Albuquerque,3811
Honolulu,LasVegas,3470
Aurora,Seattle,4287
NewOrleans,Nashville,153
SanFrancisco,Portland,4321
Milwaukee,Phoenix,2075
Anaheim,Mesa,4355
VirginiaBeach,Baltimore,4203
SanAntonio,Anaheim,4702
SanAntonio,ElPaso,2681
Tucson,Tampa,4513
Atlanta,ColoradoSprings,4320
VirginiaBeach,Jacksonville,3893
ColoradoSprings,NewOrleans,2298
Sacramento,Fresno,4382
Boston,VirginiaBeach,3119
Jacksonville,Houston,1771
Boston,ColoradoSprings,1524
ColoradoSprings,Minneapolis,2801
NewOrleans,Cleveland,639
Atlanta,FortWorth,2129
Louisville,Philadelphia,1169
Honolulu,KansasCity,2692
Nashville,Mesa,3393
KansasCity,Austin,4329
Anaheim,Tucson,1868
Austin,Phoenix,4705
Denver,Arlington,3165
Jacksonville,SanFrancisco,2893
Honolulu,Portland,4953
Minneapolis,Atlanta,3250
Fresno,Indianapolis,3930
Baltimore,Aurora,782
Austin,Raleigh,1909
Louisville,Nashville,1651
FortWorth,Anaheim,4898
Mesa,Boston,3830
Omaha,Tulsa,4313
Detroit,Aurora,1245
Fresno,Tulsa,3434
KansasCity,Portland,892
Nashville,Memphis,3718
KansasCity,Philadelphia,331
Louisville,Raleigh,1076
SantaAna,Cleveland,4666
Phoenix,LasVegas,302
Nashville,VirginiaBeach,4976
Mesa,Tampa,3109
Columbus,Detroit,4289
Nashville,Albuquerque,3747
FortWorth,Anaheim,3109
Memphis,LasVegas,3513
Boston,Cleveland,2665
SanDiego,Anaheim,695
Chicago,Honolulu,474
Houston,Fresno,1148
Nashville,Portland,3770
Anaheim,FortWorth,2775
Indianapolis,Memphis,3677
Jacksonville,Arlington,3257
Aurora,Austin,2142
Indianapolis,Bakersfield,1436
LongBeach,SantaAna,2450
Fresno,Tampa,3153
Atlanta,Sacramento,2140
Boston,Houston,3436
Minneapolis,Arlington,414
Houston,Omaha,3763
Milwaukee,VirginiaBeach,718
Philadelphia,Jacksonville,472
Bakersfield,Boston,331
ElPaso,LongBeach,2413
Albuquerque,NewYork,4793
Raleigh,Tucson,4672
Bakersfield,Tucson,3830
Anaheim,Philadelphia,3324
Bakersfield,Houston,2812
Tulsa,Fresno,2602
Jacksonville,ColoradoSprings,561
Tucson,Tampa,1342
Portland,Louisville,3738
Omaha,SanFrancisco,3582
Philadelphia,Portland,2666
ElPaso,Chicago,4070
Seattle,Jacksonville,1619
Portland,Albuquerque,667
Philadelphia,Albuquerque,2597
Washington,Columbus,4894
Phoenix,LongBeach,1055
Philadelphia,Dallas,4273
Tucson,Columbus,1780
VirginiaBeach,Chicago,3125
Tampa,SanDiego,3428
Honolulu,Atlanta,4955
Tucson,Philadelphia,3105
Tulsa,Dallas,4594
Denver,Cleveland,2130
Charlotte,Anaheim,1026
Chicago,Milwaukee,4131
Philadelphia,NewYork,2746
Mesa,Baltimore,942
LosAngeles,Tampa,3172
Albuquerque,Oakland,2125
SanDiego,Cleveland,637
Chicago,ElPaso,4909
ColoradoSprings,Sacramento,3641
Portland,Phoenix,4026
Dallas,LongBeach,4611
Phoenix,Arlington,2759
Honolulu,Albuquerque,757
Philadelphia,Atlanta,1755
Tulsa,Philadelphia,2885
Nashville,Raleigh,4672
Jacksonville,Atlanta,4376
KansasCity,FortWorth,593
KansasCity,Seattle,1755
ElPaso,Oakland,2778
Nashville,Fresno,513
Cleveland,FortWorth,1783
Sacramento,NewOrleans,2378
Oakland,Albuquerque,3770
NewOrleans,Sacramento,3855
Columbus,Indianapolis,1567
Indianapolis,Omaha,749
Anaheim,Cleveland,147
Austin,Indianapolis,1187
NewOrleans,SanAntonio,4836
Sacramento,Miami,424
Austin,Bakersfield,4286
Boston,Charlotte,1597
Columbus,Washington,845
Minneapolis,LasVegas,763
VirginiaBeach,Jacksonville,2780
Louisville,VirginiaBeach,2783
Portland,Tulsa,1452
Indianapolis,Miami,3462
Phoenix,Omaha,1336
Boston,Milwaukee,1246
NewYork,Jacksonville,4305
Seattle,LongBeach,3330
ElPaso,Philadelphia,610
Minneapolis,Omaha,4898
Albuquerque,Raleigh,1111
OklahomaCity,Louisville,593
Honolulu,Phoenix,4316
Charlotte,Louisville,3233
NewYork,SanAntonio,3431
Detroit,Milwaukee,2800
ColoradoSprings,Raleigh,4612
Aurora,Tulsa,4335
Cleveland,LongBeach,3170
SanDiego,Seattle,4079
Aurora,SanFrancisco,2911
Wichita,SanAntonio,4449
Baltimore,Fresno,2359
Columbus,LongBeach,1722
Cleveland,Nashville,4249
Washington,Bakersfield,1278
Columbus,Denver,3160
Seattle,Mesa,1585
Denver,FortWorth,231
ColoradoSprings,ElPaso,4019
Albuquerque,LasVegas,55
Columbus,Honolulu,1979
Denver,Detroit,217
Anaheim,Nashville,1426
Raleigh,Austin,682
Tulsa,LosAngeles,123
Columbus,Philadelphia,1778
Anaheim,Detroit,2363
Austin,Phoenix,2618
SanAntonio,Detroit,2173
Louisville,Sacramento,1606
Louisville,Seattle,663
Jacksonville,SantaAna,3153
Phoenix,Boston,3493
Sacramento,Aurora,1081
Aurora,VirginiaBeach,4910
Portland,Sacramento,3602
Albuquerque,Memphis,4542
Indianapolis,Phoenix,496
Philadelphia,ElPaso,4597
Boston,LosAngeles,799
Denver,Atlanta,1334
Atlanta,Tampa,4502
LasVegas,Washington,959
Chicago,NewOrleans,754
Cleveland,SanDiego,1563
Charlotte,Minneapolis,2777
OklahomaCity,Arlington,2845
LasVegas,Minneapolis,3924
Nashville,SanFrancisco,982
Tampa,Houston,2556
Tampa,Nashville,3852
Arlington,Atlanta,235
NewOrleans,Indianapolis,444
Seattle,Albuquerque,4844
Tampa,Aurora,2777
Portland,ColoradoSprings,4072
VirginiaBeach,Arlington,3873
Aurora,Mesa,4159
Louisville,Omaha,790
Tulsa,Tucson,3059
Houston,Columbus,1282
Wichita,LosAngeles,320
Houston,Aurora,2651
Denver,FortWorth,1921
Sacramento,Tulsa,4796
NewOrleans,Washington,1723
SanFrancisco,Jacksonville,901
Detroit,Milwaukee,330
Detroit,Dallas,1880
Wichita,Minneapolis,196
ElPaso,Albuquerque,3554
LosAngeles,KansasCity,3717
Jacksonville,Tucson,1563
Columbus,Arlington,3067
Cleveland,Tulsa,4236
Tampa,Phoenix,2913
Fresno,Sacramento,729
Bakersfield,Albuquerque,247
Houston,Nashville,1954
Honolulu,Miami,941
Minneapolis,Bakersfield,618
Philadelphia,Louisville,975
Albuquerque,Arlington,1988
Minneapolis,Tampa,3461
Seattle,Nashville,963
NewYork,Fresno,3720
Minneapolis,Memphis,1856
Mesa,Tulsa,2364
Indianapolis,Milwaukee,4264
Chicago,LasVegas,3139
LosAngeles,Wichita,2050
Columbus,Tulsa,1425
Boston,Philadelphia,4381
Oakland,Memphis,4053
Arlington,Austin,3317
Anaheim,LosAngeles,3293
FortWorth,Portland,864
Sacramento,Minneapolis,967
Indianapolis,Jacksonville,2510
Bakersfield,Phoenix,2074
Fresno,Anaheim,119
Mesa,VirginiaBeach,2446
Sacramento,LasVegas,279
Dallas,Milwaukee,468
Houston,LosAngeles,1823
Houston,SanDiego,2093
Philadelphia,Washington,591
Philadelphia,Charlotte,4817
Chicago,Portland,3189
SanDiego,Bakersfield,1114
Washington,Tucson,2294
Omaha,Fresno,4239
Oakland,Honolulu,311
NewYork,Wichita,4956
Tucson,Indianapolis,1998
Tulsa,Aurora,1454
Memphis,Louisville,4269
Honolulu,Albuquerque,1086
Nashville,Cleveland,1760
Phoenix,SanDiego,3331
Philadelphia,Oakland,4725
Sacramento,Honolulu,3721
Honolulu,Austin,364
Houston,Chicago,965
Wichita,Anaheim,2613
Anaheim,Seattle,275
Phoenix,Anaheim,3682
Indianapolis,Arlington,4357
FortWorth,Bakersfield,2691
Dallas,SanFrancisco,295
ColoradoSprings,Fresno,507
Austin,Houston,3417
Tucson,Atlanta,2945
Indianapolis,Baltimore,1262
NewOrleans,Oakland,3918
Raleigh,Austin,4752
Honolulu,SantaAna,3720
LongBeach,Honolulu,2562
Miami,Wichita,3324
